id,answer_1,answer_2,answer_3,result
1048551348,90,физика,решение задач,Инженерная олимпиада
550422018,100,математика,решение задач,Физтех
585557831,10,информатика,проектная деятельность,Юниор
780941944,60,математика,решение задач,Шаг в будущее
773875240,90,информатика,решение задач,Физтех
541935683,10,математика,решение задач,Физтех
370699539,30,математика,решение задач,Физтех
302554396,60,математика,решение задач,Физтех
859186745,90,информатика,решение задач,Инженерная олимпиада
422738909,40,информатика,решение задач,ИТМО
456120197,90,физика,решение задач,Шаг в будущее
511164543,90,математика,решение задач,Росатом
533575242,80,физика,решение задач,Физтех
556176143,80,физика,решение задач,Физтех
817625892,90,математика,решение задач,Турнир имени М. В. Ломоносова
944933015,90,информатика,решение задач,Физтех
801924577,90,математика,решение задач,Физтех
422890079,70,физика,решение задач,Физтех
414048799,60,информатика,решение задач,Физтех
1076169093,80,информатика,проектная деятельность,Физтех
386500420,90,математика,проектная деятельность,Олимпиада Ломоносов
1328656143,50,физика,решение задач,Юниор
326890871,80,математика,решение задач,Олимпиада Ломоносов
386876579,90,физика,решение задач,Физтех
795937040,60,информатика,проектная деятельность,Юниор
414677066,80,информатика,проектная деятельность,Шаг в будущее
497990156,100,информатика,проектная деятельность,Росатом
209710665,90,информатика,решение задач,Физтех
721015237,50,математика,решение задач,Физтех
388318672,50,физика,решение задач,Курчатов
410628756,70,информатика,решение задач,Высшая проба
450886548,90,физика,проектная деятельность,Физтех
403151412,40,информатика,проектная деятельность,Физтех
399270178,100,информатика,решение задач,Звезда
374177088,80,математика,решение задач,Инженерная олимпиада
464237994,30,физика,решение задач,Росатом
250553937,80,математика,проектная деятельность,Физтех
423594969,80,информатика,проектная деятельность,Юниор
477700088,80,информатика,проектная деятельность,Юниор
1261688705,90,математика,решение задач,Физтех
732331808,40,математика,решение задач,Физтех
304568811,10,физика,решение задач,ВСОШ
1022061330,90,физика,решение задач,Физтех
507944563,80,физика,решение задач,Физтех
551415196,60,физика,решение задач,Юниор
964506468,90,математика,решение задач,Росатом
357246237,90,физика,решение задач,Физтех
508078670,100,информатика,проектная деятельность,Высшая проба
740278157,80,физика,решение задач,Росатом
693179947,100,математика,решение задач,Росатом
444286838,80,физика,решение задач,Физтех
